book,lang,page,content,len,tokens_amount
potter.pdf,en,50,"Harry woke early the next morning. Although he could tell it was  daylight, he kept his eyes shut tight.  ‘It was a dream,’ he told himself firmly. ‘I dreamed a giant called  Hagrid came to tell me I was going to a school for wizards. When   I open my eyes I’ll be at home in my cupboard.’  There was suddenly a loud tapping noise.  ‘And there’s Aunt Petunia knocking on the door,’ Harry  thought, his heart sinking. But he still didn’t open his eyes. It had  been such a good dream.  Tap. Tap. Tap.  ‘All right,’ Harry mumbled, ‘I’m getting up.’  He sat up and Hagrid’s heavy coat fell off him. The hut was full  of sunlight, the storm was over, Hagrid himself was asleep on the  collapsed sofa and there was an owl rapping its claw on the  window, a newspaper held in its beak.  Harry scrambled to his feet, so happy he felt as though a large  balloon was swelling inside him. He went straight to the window  and jerked it open. The owl swooped in and dropped the news- paper on top of Hagrid, who didn’t wake up. The owl then  fluttered on to the floor and began to attack Hagrid’s coat.  ‘Don’t do that.’  Harry tried to wave the owl out of the way, but it snapped its  beak fiercely at him and carried on savaging the coat.  ‘Hagrid!’ said Harry loudly. ‘There’s an owl –’  ‘Pay him,’ Hagrid grunted into the sofa.  ‘What?’  ‘He wants payin’ fer deliverin’ the paper. Look in the pockets.’  Hagrid’s coat seemed to be made of nothing but pockets –  bunches of keys, slug pellets, balls of string, mint humbugs, tea- bags … finally, Harry pulled out a handful of strange-looking coins.  ",1591,1037
potter.pdf,en,180,"From being one of the most popular and admired people at the  school, Harry was suddenly the most hated. Even Ravenclaws and  Hufflepuffs turned on him, because everyone had been longing to  see Slytherin lose the House Cup. Everywhere Harry went, people  pointed and didn’t trouble to lower their voices as they insulted  him. Slytherins, on the other hand, clapped as he walked past  them, whistling and cheering, ‘Thanks Potter, we owe you one!’  Only Ron stood by him.  ‘They’ll all forget this in a few weeks. Fred and George have lost  loads of points in all the time they’ve been here, and people still  like them.’  ‘They’ve never lost a hundred and fifty points in one go,  though, have they?’ said Harry miserably.  ‘Well – no,’ Ron admitted.  It was a bit late to repair the damage, but Harry swore to him- self not to meddle in things that weren’t his business from now   on. He’d had it with sneaking around and spying. He felt so  ashamed of himself that he went to Wood and offered to resign  from the Quidditch team.  ‘Resign?’ Wood thundered. ‘What good’ll that do? How are we  going to get any points back if we can’t win at Quidditch?’  But even Quidditch had lost its fun. The rest of the team  wouldn’t speak to Harry during practice, and if they had to speak  about him, they called him ‘the Seeker’.  Hermione and Neville were suffering, too. They didn’t have as  bad a time as Harry, because they weren’t as well known, but  nobody would speak to them either. Hermione had stopped draw- ing attention to herself in class, keeping her head down and work- ing in silence.  Harry was almost glad that the exams weren’t far away. All the  revision he had to do kept his mind off his misery. He, Ron and  Hermione kept to themselves, working late into the night, trying  to remember the ingredients in complicated potions, learn charms  and spells off by heart, memorise the dates of magical discoveries  and goblin rebellions …  Then, about a week before the exams were due to start, Harry’s  new resolution not to interfere in anything that didn’t concern   him was put to an unexpected test. Walking back from the library  on his own one afternoon, he heard somebody whimpering from a  classroom up ahead. As he drew closer, he heard Quirrell’s voice.  ",2275,1168
potter.pdf,en,123,"DO NOT OPEN THE PARCEL AT THE TABLE.  It contains your new Nimbus Two Thousand,   but I don’t want everybody knowing you’ve   got a broomstick or they’ll all want one.  Oliver Wood will meet you tonight on the   Quidditch pitch at seven o’clock for your   first training session.  Professor M. McGonagall    Harry had difficulty hiding his glee as he handed the note to Ron  to read.  ‘A Nimbus Two Thousand!’ Ron moaned enviously. ‘I’ve never  even touched one.’  They left the Hall quickly, wanting to unwrap the broomstick in  private before their first lesson, but halfway across the Entrance  Hall they found the way upstairs barred by Crabbe and Goyle.  Malfoy seized the package from Harry and felt it.  ‘That’s a broomstick,’ he said, throwing it back to Harry with a  mixture of jealousy and spite on his face. ‘You’ll be for it this time,  Potter, first-years aren’t allowed them.’  Ron couldn’t resist it.  ‘It’s not any old broomstick,’ he said, ‘it’s a Nimbus Two  Thousand. What did you say you’ve got at home, Malfoy, a Comet  Two Sixty?’ Ron grinned at Harry. ‘Comets look flashy, but they’re  not in the same league as the Nimbus.’  ‘What would you know about it, Weasley, you couldn’t afford  half the handle,’ Malfoy snapped back. ‘I suppose you and your  brothers have to save up, twig by twig.’  Before Ron could answer, Professor Flitwick appeared at  Malfoy’s elbow.  ‘Not arguing, I hope, boys?’ he squeaked.  ‘Potter’s been sent a broomstick, Professor,’ said Malfoy quickly.  ‘Yes, yes, that’s right,’ said Professor Flitwick, beaming at Harry.  ‘Professor McGonagall told me all about the special circum- stances, Potter. And what model is it?’  ‘A Nimbus Two Thousand, sir,’ said Harry, fighting not to laugh  at the look of horror on Malfoy’s face. ‘And it’s really thanks to  Malfoy here that I’ve got it,’ he added.  Harry and Ron headed upstairs, smothering their laughter at  Malfoy’s obvious rage and confusion.  ",1947,1126
psych.pdf,en,262,"Attachment theory While much developmental  psychology concerned itself with  the process of learning, a growing  area of interest arose from the  research carried out by the British  psychoanalyst and psychiatrist  John Bowlby. His study of children  who had been separated from their  families during World War II led   to the formulation of attachment  theory, which deals with the way  we build and maintain relationships  with family and friends, placing   a special importance on the  attachments made by infants to the  people who care for them; Bowlby  saw this as a natural impulse for  survival. The basic ideas of  attachment theory were reinforced  by experiments carried out by  psychologist Harry Harlow in the  US, who showed the effects of  isolation and maternal separation  on infants. His experiments  demonstrated that to build healthy  cognitive and social development,  infants needed companionship   and care. Later research by Mary  Ainsworth built on these ﬁndings,  adding the concept of a “secure  base” from which an infant   can explore the world. Bruno   Bettelheim developed his own, more  controversial, theories of childhood  development from the basis of  attachment theory, rejecting the  importance of the traditional family  after his study of children brought  up communally in kibbutzim. In   the 1960s, social issues such as the  civil rights movement and  feminism were inﬂuencing thought  in both social psychology and  developmental psychology. How   our prejudices are acquired, and   at what stage of development,   became an area of interest for the  African-Americans Kenneth and  Mamie Clark, who based their work  on studies of child development in  Harlem, New York; while Eleanor  Maccoby examined the differences  in development between the   sexes—the ﬁrst of many similar  explorations in the new ﬁeld of  gender studies. Developmental psychology is  currently exploring the causes and  treatment of autism and learning  difﬁculties. And, with a growing  aging population, psychology   is also looking into issues that  confront us as we enter old age. ■ A school opens in  Neuville-du-Bosc,  France, which follows  the educational theories  of Françoise Dolto.  ",2217,1097
psych.pdf,en,48,"See also: Francis Galton 28–29  ■  Wilhelm Wundt 32–37  ■  Sigmund Freud 92–99  ■  Erik Erikson 272–73 he word “adolescence”  literally means “growing  up” (from the Latin  adolescere). In theory, it describes  a distinct stage between childhood  and adulthood, but in practice often  simply deﬁnes the “teenage” years.  In most Western societies, the idea  of adolescence was not recognized  until the 20th century; childhood  ended and adulthood began at a  certain age—typically at 18. Pioneering psychologist and  educator, G. Stanley Hall, in his  1904 book Adolescence, was the  ﬁrst academic to explore the subject.  Hall was inﬂuenced by Darwin’s  theory of evolution, believing that  all childhoods, especially with  regard to behavior and early  physical development, reﬂect the  course of evolutionary change, and  that we each develop in accordance  with our “ancestral record.” One key inﬂuence on Hall   was the 18th-century Sturm  und Drang (“Storm and Stress”)  movement of German writers   and musicians, which promoted  total freedom of expression. Hall  referred to adolescence as “Sturm  und Drang;” he considered it a stage  of emotional turmoil and rebellion,  with behavior ranging from quiet  moodiness to wild risk-taking.  Adolescence, he stated, “craves  strong feelings and new sensations…  monotony, routine, and detail are  intolerable.” Awareness of self and  the environment greatly increases;  everything is more keenly felt, and  sensation is sought for its own sake. ",1502,1003
psych.pdf,en,48,"Modern echoes Many of Hall’s ﬁndings are echoed  in research today. Hall believed that  adolescents are highly susceptible  to depression, and described a  “curve of despondency” that starts  at the age of 11, peaks at 15, then  falls steadily until the age of 23.  Modern research acknowledges   a similar pattern. The causes of  depression that Hall identiﬁed are  startlingly familiar: suspicion of  being disliked and having seemingly  insuperable character faults, and  “the fancy of hopeless love.” He  believed the self-consciousness of  adolescence leads to self-criticism  and censoriousness of self and  others. This view mirrors later  studies, which argue that teenagers’  advanced reasoning skills allow  them to “read between the lines,”  while also magnifying their  sensitivity to situations. Even Hall’s  claim that criminal activity is more  prevalent in the teenage years,  peaking around 18, still holds true. But Hall was not totally negative  about adolescence. As he wrote in  Youth: Its Education, Regiment,   and Hygiene, “Adolescence is a  new birth, for the higher and more  completely human traits are now  born.” So, for Hall, adolescence   was in fact a necessary beginning  of something much better. ■  Born into a farming family   in Ashﬁeld, Massachusetts,  Granville Stanley Hall  graduated from Williams  College, Massachusetts in  1867. His plans to travel were  thwarted through lack of  funds, so he followed his  mother’s wish and studied  theology for a year in New  York, before moving to  Germany. On Hall’s return to  America in 1870, he studied   with William James for four  years at Harvard, gaining the  ﬁrst psychology PhD in the  US. He then returned to  Germany for two years to  work with Wilhelm Wundt   in his Leipzig laboratory.  In 1882, Hall became a  professor at Johns Hopkins  University, Baltimore, where he  set up the ﬁrst US laboratory  speciﬁcally for psychology. He  also launched the American  Journal of Psychology in 1887,  and became the ﬁrst president  of the American Psychological  Association in 1892. ",2075,1112
psych.pdf,en,183,"To study how our attention works,  Broadbent needed to design  experiments that would back up   his hunches. His background in  engineering meant that he would  not be satisﬁed until he had  evidence on which to base a theory,  and he also wanted that research   to have a practical application.   The APU was dedicated to applied  psychology, which for Broadbent  referred not only to therapeutic  applications, but also to applications  that beneﬁted society as a whole;  he was always very conscious that  his research was publicly funded. ",543,745
psych.pdf,en,183,"One voice at a time One of Broadbent’s most important  experiments was suggested by his  experience with air trafﬁc control.  Ground crew often had to deal with  several streams of incoming  information simultaneously, sent  from planes arriving and departing,  which was relayed to the operators  by radio and received through  headphones. The air trafﬁc  controllers then had to make quick  decisions based on that information,  and Broadbent had noticed that they  could only effectively deal with one  message at a time. What interested  him was the mental process that  must take place in order for them to  select the most important message  from the various sources of incoming  information. He felt that there must  be some kind of mechanism in the  brain that processes the information  and makes that selection. The experiment that Broadbent  devised, now known as the dichotic  listening experiment, was one of  the ﬁrst in the ﬁeld of selective  attention—the process our brains  use to “ﬁlter out” the irrelevant  information from the masses of  data we receive through our senses  all the time. Following the air trafﬁc  control model, he chose to present  aural (sound-based) information  through headphones to the subjects  of his experiment. The system was  set up so that he could relay two  different streams of information at  the same time—one to the left ear  and one to the right—and then test  the subjects on their retention of  that information. As Broadbent had suspected, the  subjects were unable to reproduce  all the information from both  channels of input. His feeling that  we can only listen to one voice at  once had been conﬁrmed, but still  the question remained as to exactly  how the subject had chosen to retain  some of the incoming information  and effectively disregard the rest. Thinking back to his initial  training as an engineer, Broadbent  suggested a mechanical model to  explain what he felt was happening  in the brain. He believed that when  there are multiple sources of input,  they may reach a “bottleneck” if the  brain is unable to continue to process  all the incoming information; at this  point, there must be some kind of  “ﬁlter” that lets through only one  channel of input. The analogy he  uses to explain this is typically  practical: he describes a Y-shaped  tube, into which two ﬂows of ping  pong balls are channeled. At the  junction of the two branches of the  tube, there is a ﬂap that acts to  block one ﬂow of balls or the other;  this allows balls from the unblocked  channel into the stem of the tube. ",2579,1211
psych.pdf,en,261,"Piaget raised some fundamental  questions: whether we acquire  knowledge gradually or in distinct  stages; whether certain abilities   are innate or learned; and how the  environment affects development.  His cognitive development theory  suggested that a child’s growth into  adulthood is divided into several  developmental stages, and within  each stage the child learns by doing  rather than instruction. Piaget’s  ideas set the stage for the new ﬁeld  of developmental psychology and  shaped the curricula of schools   up to the present day. Other developmental theories  soon emerged. Although broadly  agreeing with Piaget’s ﬁndings,  Lev Vygotsky argued that it was  necessary for a child to have adult  guidance at various stages in his  learning, and also stressed the  importance of a child’s social   and cultural environment. Erik  Erikson also built on Piaget’s   ideas, identifying eight stages   of psychosocial development,  including the “identity crisis”   of adolescence; while Lawrence  Kohlberg came up with six stages  of moral development in his studies. With the “cognitive revolution”  that followed World War II,  psychologists such as Albert  Bandura looked at the issue of  development again, this time   in the light of cognitive models   of information processing. Bandura  retained elements of both Piaget’s  stages of development and  Vygotsky’s social constructivism   in his social learning theory.  Cognitive psychology also brought  new ideas about learning,  especially the acquisition of  The psychoanalytic world is  divided on issues of child  development between  Anna Freud’s conservative  approach and Melanie Klein’s  “revolutionary” one.  ",1685,973
bio.pdf,ru,80,"Alberts B., Bray D., Hopkin K. et al. (2004) Essential Cell Biology, 2nd ed.  New York: Garland Science. Barton N. H., Briggs D. E. G., Eisen J. A. et al. (2007) Evolution. Cold Spring  Harbor, NY: Cold Spring Harbor Laboratory Press. Darwin C. (1859) On the Origin of Species. London: Murray. Graur D. & Li W.-H. (1999) Fundamentals of Molecular Evolution, 2nd ed.  Sunderland, MA: Sinauer Associates.  Madigan M. T. & Martinko J. M. (2005) Brock’s Biology of Microorganisms,  11th ed. Englewood Cliffs, NJ: Prentice Hall. Margulis L. & Schwartz K. V. (1998) Five Kingdoms: An Illustrated Guide to  the Phyla of Life on Earth, 3rd ed. New York: Freeman. Watson J. D., Baker T. A., Bell S. P. et al. (2007) Molecular Biology of the Gene,  6th ed. Menlo Park, C. A: Benjamin-Cummings. ",784,879
bio.pdf,ru,247,"Поскольку каждая отдельная связь слаба, эффективное связывание возникает  только тогда, когда одновременно образуется большое число таких связей. Такое  связывание возможно только в том случае, если контуры поверхности молекулы  лиганда полностью соответствуют поверхности белковой молекулы, в результате  чего они настолько хорошо прилегают одна к другой, как выбранная по размеру  перчатка к руке (рис. 3.36). Область белка, которая непосредственно соединяется с лигандом, известна в  научных кругах под названием участка связывания (сайта связывания) лиганда и  обычно состоит из углубления в поверхности белка, образуемого за счет специфи- ческого расположения аминокислот. Эти аминокислоты могут принадлежать к  разным частям полипептидной цепи, которые сблизились друг с другом в резуль- тате фолдинга белка (рис. 3.37). На разнесенных друг от друга областях белковой  поверхности, как правило, формируются участки связывания разных лигандов, что  позволяет регулировать активность белка, как мы увидим чуть позже. Остальные  части белка, можно сказать, играют роль манипулятора, необходимого для надле- жащего размещения белка в клетке, — примером служит уже рассматривавшийся  нами домен SH2, который во многих случаях в ответ на специфические сигналы  перемещает белок, его содержащий, в определенные области внутри клетки. Хотя атомы, находящиеся во внутренних областях белковой молекулы, не  имеют прямого контакта с лигандом, они формируют каркас, который придает по- верхности ее очертания и обусловливает ее химические и механические свойства.  Даже небольшие изменения аминокислот во внутренних областях белковой молекулы  Рис. 3.38. Аминокислота, проявляющая необычайно высокую реакционную способность в активном  участке фермента. Данный пример относится к так называемой «каталитической триаде», свойствен- ной химотрипсину, эластазе и другим сериновым протеазам (см. рис. 3.12). Боковая цепь аспарагино- вой кислоты (Asp 102) возбуждает гистидин (His 57), который забирает протон у серина (Ser 195). Эти  действия активируют серин, получающий способность образовать ковалентную связь с субстратом  фермента, гидролизуя при этом пептидную связь. На рисунке не показаны многочисленные изгибы  полипептидной цепи. ",2230,1653
bio.pdf,ru,528,"Рис. 6.6. РНК способна сворачиваться с образованием характерных структур. РНК по большей части  одноцепочечная, но она часто содержит короткие участки нуклеотидов, которые могут образовывать  классические пары оснований с комплементарными последовательностями, находящимися в каком-либо  ином месте той же самой молекулы. Такие взаимодействия, наряду с дополнительными взаимодей- ствиями, возникающими между нетрадиционно спаренными основаниями, позволяют молекуле РНК  сворачиваться в трехмерную структуру, которая определяется ее нуклеотидной последовательностью.  а) Схема свернутой структуры РНК, на которой показаны только взаимодействия между классическими  парами оснований. б) Структура, которая образована взаимодействием как между классически компле- ментарными основаниями (красные), так и между «нетрадиционными» (зеленые) парами. в) Структура  нативной РНК: часть интрона группы I (см. рис. 6.36). Каждая классическая пара оснований обозначена  «ступенькой лесенки» в двойной спирали. Основания в других конфигурациях обозначены отдельными  перекладинами. ",1069,1118
bio.pdf,ru,478,"Рис. 5.50. Дезаминирование нуклеотидов ДНК. В каждом случае атом кислорода, который присоеди- няется к основанию в ходе этой реакции с участием воды, окрашен красным. а) Продукты спонтанного  дезаминирования нуклеотидов А и G в ДНК, распознаются как неправильные и, таким образом, легко  узнаются и исправляются. Дезаминирование C в U было представлено также на рис. 5.45; T не имеет  аминогруппы, которая могла бы быть удалена. б) Около 3 % нуклеотидов C в ДНК позвоночных мети- лировано, выполняя задачу регуляции экспрессии генов (обсудим в главе 7). Когда такой нуклеотид,  5-метил-C, случайно дезаминируется, образуется естественный нуклеотид T. Однако этот T будет спарен  с G на противоположной нити, а это не будет соответствовать правильной, комплементарной, паре  оснований. ",785,993
bio.pdf,ru,713,"Подробное изучение регуляторного модуля полосы 2 дало некоторое понима- ние того, как происходит считывание и интерпретация позиционной информации.  Он содержит последовательности, распознаваемые двумя регуляторными белками  (Bicoid и Hunchback), которые активируют транскрипцию Eve, и двумя белками  (Krüppel и Giant), которые ее подавляют (рис. 7.56). (Регуляторные белки дро- зофилы часто имеют колоритные имена, отражающие фенотип, получающийся в  результате инактивации гена, кодирующего белок, из-за мутации.) Относительные  концентрации этих четырех белков определяют, будут ли белковые комплексы,  образующиеся в полосе 2, активировать транскрипцию гена Eve. На рис. 7.57  показано распределение четырех регуляторных белков вдоль области зародыша  дрозофилы, где образуется полоса 2. Считается, что любой из двух репрессорных  белков, если он связан с ДНК, будет выключать модуль полосы 2, тогда как для  его максимальной активации должны связаться оба белка: Bicoid и Hunchback.  Таким образом, эта простая регуляторная единица сочетает четыре позиционных  сигнала так, что включает модуль полосы 2, а следовательно, и экспрессию гена  Eve, только в тех ядрах, которые расположены в местах, где наблюдаются высокие  уровни белков Bicoid и Hunchback, а Krüppel и Giant отсутствуют. Такое сочетание  активаторов и репрессоров встречается только в одной области раннего эмбриона,  во всех других местах, следовательно, модуль полосы 2 неактивен.  ",1453,1271
hist.pdf,ru,336,"(1772—1833). Человек огромных знаний, широкого кругозора и большой патриот, он отдал всю свою жизнь делу просвещения Индии, борьбе с наиболее отсталыми предрассудками, унаследованными индийцами от средневекового прошлого. Он основал журнал на англий- ском, а также на бенгальском и на широко известном тогдашней интеллигенции персидском языке. По настоянию Рама Мохана Раи и его сторонников правительство запретило варвар- ский обычай сжигания вдов. Он был противником кастового неравенства и проводил свои взгляды на практике в созданном им обществе «Брахмо Самадж». В этом обществе объеди- нились последователи монотеистического религиозного учения, разработанного Рамом Мо- ханом Раи в противовес ортодоксальному индуизму, освящавшему кастовое неравенство. В 1824 г. англичане, расширяя сферу колониальной эксплуа- тации, напали на Бирму. Бирманский народ, несмотря на ока- занное им сопротивление, потерпел поражение. Англичане аннексировали Ассам в долине реки Брахмапутры и соседние с ним районы, а также прибрежные Аракан и Тенассерим. В 1852 г. англичане начали вторую войну с Бирмой и аннексировали область Пегу в дельте ре- ки Иравади. В 40-х годах англичане начали агрессию против Синда и Пенджаба. Прологом к ней яви- лась первая англо-афганская война 1839—1842 гг. Английское правительство, стремясь пре- вратить Афганистан в стратегический плацдарм для борьбы против Ирана и Средней Азии, решило навязать афганскому эмиру Дост-Мухаммеду политический договор. С этой целью в 1837 г. был послан в Кабул Александр Бернс, который, однако, не смог договориться с Дост- Мухаммедом. Последний требовал, чтобы англичане прислали ему денег и оружия, а также заставили правителя Пенджаба Ранджит Сингха вернуть Пешавар, отнятый у афганцев в 1823 г. Не получив согласия, Дост-Мухаммед принял находившегося в Кабуле русского ди- пломатического агента Виткевича, посланного туда Николаем I, для того чтобы добиться за- ключения между Дост-Мухаммедом и Ираном союзного договора, направленного против Ост-Индской компании. Николай I брал на себя роль гаранта выполнения условий договора. Англия решила свергнуть Дост-Мухаммеда и посадить на кабульский престол бывшего правителя Шуджу, изгнанного из Афганистана в 1809 г. и проживавшего в Индии. В 1838 г. англо-индийская армия двинулась в Афганистан и овладела Кабулом; Шуджа стал снова эмиром. Дост-Мухаммед бежал в северные районы Афганистана, надеясь на помощь от цар- ской России. Однако под нажимом Англии Николай I отказался от своих первоначальных планов и дезавуировал Виткевича (Виткевич после этого застрелился). Не получив помощи от Николая I, Дост-Мухаммед сдался англичанам и был увезен в Индию. Вскоре против англичан и Шуджи в Афганистане началась партизанская война. В первых числах ноября 1841 г. в Кабуле произошло восстание, в результате которого англичане, оста- вив всю артиллерию и заложников, спешно покинули афганскую столицу, 15-тысячный от- ряд так и не вернулся в Индию, его уничтожили афганцы. В начале апреля 1842 г. был убит Шуджа. В августе 1842 г. англичане вновь вторглись в Афганистан, захватили на небольшой срок Кабул, разорили его и подвергли население репрессиям. Но вскоре им пришлось очистить страну, так как афганцы продолжали оказывать им яростное сопротивление. Англичане были вынуждены освободить Дост-Мухаммеда. В начале 1843 г. он вернулся в Кабул и восстано- вил свою власть. После поражения в Афганистане колониальные власти в Индии предприняли наступление на независимых эмиров Синда и на государство сикхов в Пенджабе. Этой агрессией англи- чане хотели не только восстановить свой престиж, поколебленный неудачей в Афганистане, но и перенести рубежи своих владений к границам Афганистана. ",3688,2502
hist.pdf,ru,341,"Феодалы и ростовщики, отнимая у крестьян не только приба- вочный, но нередко и часть необходимого продукта, обрекали их на нищенское полуголодное существование. «...Таких, ко- торые живут в тепле, когда стоят холода, и не стонут от голо- да в неурожайный год, вряд ли наберется двое-трое на десяток дворов», — писал о жизни крестьян один из китайских авторов того времени. Разорившиеся крестьяне бросали свое хозяйство, становились нищими или пополняли ря- ды «разбойной вольницы», получившей тогда в Китае широкое распространение. Не лучше было положение трудового люда в городах. Крестьяне и бедное население городов нередко поднимали восстания. При этом антифеодальная борьба слива- лась с борьбой национальной, антиманьчжурской. В Цинской империи, которой правила маньчжурская династия, маньчжуры пользовались особыми привилегиями. Занимая все важнейшие посты в административном аппарате, они беспощадно грабили народ. Например, один из маньчжурских сановников приобрел богатст- ва, состоявшие из 2,5 млн. му земли, 682 фунтов золота, 11 ящиков бриллиантов и огромного количества серебра. От маньчжурских бюрократов не отставали и китайские чиновники. Ли- хоимство, продажность и произвол высших и низших чиновников приняли невиданные ра- нее размеры. Военной опорой Цинской династии были «знаменные» маньчжурские войска, поставлен- ные в привилегированное положение по сравнению с войсками «зеленого знамени», сфор- мированными из китайцев. В XIX в. в маньчжурских войсках резко упала дисциплина, и они в значительной мере утратили боеспособность. ",1553,1399
math.pdf,ru,279,"Виттена; меня поразила не только интеллектуальная мощь, но  и высокая рабочая этика ученого. Я видел, с каким вниманием  он относится к проблеме выбора задач. Ранее в этой книге я уже  упоминал о том, что существуют задачи, поиск решения которых  может занять 350 лет, и поэтому чрезвычайно важно правильно  оценивать не только значимость задачи, но и вероятность дости- жения успеха в ее решении в некий разумный период времени.  Я убедился в том, что Виттен обладает отличной интуицией и пре- восходным вкусом, позволяющими ему делать правильный выбор.  Поставив перед собой задачу, он упрямо идет к ее разрешению,  не останавливаясь и не сворачивая с намеченного пути, как ге- рой Тома Круза в фильме «Соучастник». Его подход отличается  тщательностью и методичностью: от его глаза не скроется ни одна  деталь. Как и любой другой человек, временами он заходит в ту- пик, и бывает, что полученные результаты сбивают его с толку.  Однако он всегда успешно справляется с трудностями и находит  правильный выход. Наша совместная работа стала для меня очень  вдохновляющим опытом и богатым источником новых идей и зна- ний в самых разных областях. ",1146,1140
math.pdf,ru,167,"Хургин, профессор факультета прикладной математики, один  из самых харизматичных и наиболее почитаемых членов пре- подавательского состава. Бывшему ученику Гельфанда, Якову  Исаевичу тогда было уже под семьдесят, и все же для нас он был  едва ли не самым «крутым» профессором. Благодаря увлекатель- ному стилю изложения и чувству юмора он неизменно собирал  полные аудитории. Начиная с третьего курса я перестал ходить  на большинство лекций, но, несмотря на это, посещение лекций  Хургина по теории вероятностей и математической статистике  считал для себя обязательным. На третьем году в институте мы  стали работать с ним вместе. ",633,926
math.pdf,ru,252,"Расположенный всего в часе езды на поезде от Нью-Йорка, Прин- стон выглядит типичным северо-восточным американским при- городом. Институт перспективных исследований, который в на- учном сообществе принято называть просто «Институтом», на- ходится на окраине Принстона, в буквальном смысле в лесу. Это  тихая живописная местность: в небольших прудах плавают утки,  деревья отражаются в стоячей воде. Институт, представляющий  собой комплекс из двух- и трехэтажных кирпичных зданий, соз- дающих атмосферу 1950-х годов, излучает интеллектуальную  мощь. Тихие коридоры и главная библиотека, в которой работал  Эйнштейн и другие гиганты мира науки, буквально пропитаны  богатой историей этого научного заведения. ",708,975
math.pdf,ru,252,"Несмотря на уведомление за довольно короткий срок, реакция на  отправленные в декабре приглашения превзошла наши ожидания.  Собралось около двадцати участников, поэтому, объявив начало  собрания, я прежде всего попросил присутствующих по очереди  представиться. Мне все время хотелось себя ущипнуть, чтобы  убедиться в том, что это не сон: передо мной сидели бок о бок Вит- тен и Ленглендс, здесь же Питер Годдард и несколько его коллег  из математической школы и школы естественных наук. Среди  участников Дэвид Олив, соавтор знаменитых работ Монтонена —  Олива и Годдарда — Найтса — Олива. И, разумеется, Бен Манн. ",617,914
math.pdf,ru,202,"Вейля в правый требует внесения определенных корректировок  в обе части соответствия, предусмотренного программой Ленг- лендса. Это необходимо, потому что у таких понятий, как группа  Галуа и автоморфные функции, нет непосредственных эквива- лентов в геометрии римановых поверхностей. Аналогом группы  Галуа является фундаментальная группа римановой поверхности,  как мы узнали в главе 9. А с помощью словаря Гротендика мы  переходим от автоморфных функций к пучкам, которые обладают  свойствами, аналогичными свойствам автоморфных функций.  Мы называем их автоморфными пучками. ",579,880
math.pdf,ru,51,"Евреи — или абитуриенты, чьи имена были похожи на  еврейские, — проходили вступительные экзамены «в осо- бом режиме»… На устном экзамене планка задиралась не- возможно высоко. Нежелательным кандидатам задавали  «вопросы на засыпку», требующие сложной аргументации  и длительных вычислений. Некоторые задачи попросту  невозможно было решить, либо они имели двусмысленную  формулировку, либо правильного ответа на них не суще- ствовало. Эти вопросы предназначались не для проверки  знаний и навыков кандидатов, а для того чтобы отсеять  «неугодных». Утомительный, очевидно несправедливый  допрос зачастую длился по пять-шесть часов, несмотря на  то что по правилам на проведение экзамена отводилось не  более трех с половиной часов. Даже если кандидат давал  верные ответы, в его суждениях всегда можно было найти,  за что зацепиться. Известен случай, когда абитуриенту  заявили, что его определение окружности неверное. Он  сформулировал его так: «набор точек, равноудаленных  от данной точки». Правильным ответом, по мнению эк- заменатора, было «набор всех точек, равноудаленных от  данной точки». В другой ситуации ответ на тот же самый  вопрос посчитали некорректным, так как кандидат за- был упомянуть, что расстояние должно быть ненулевым.  При решении уравнения ответ «1 и 2» объявлялся невер- ным, так как верный ответ, по мнению экзаменатора, был  «1 или 2» (примечательно, что тот же самый экзаменатор  другому абитуриенту сказал ровно противоположное и счел  ответ «1 или 2» неправильным). ",1499,1303
ml.pdf,ru,171,"На рис. 10.1 показан пример разреженных векторов признаков с метками. Каждый  вектор признаков представляет информацию об одном конкретном пользователе  и одном конкретном фильме. Признаки в синей области представляют пользова- теля. Векторы, представляющие пользователей, получены методом унитарного  кодирования. Элементы в зеленой области представляют фильмы. Эти векторы  также получены методом унитарного кодирования. Признаки в желтой области  представляют оценки, которые пользователь из синей области присвоил каждому  оцененному им фильму. Признак x99 представляет долю фильмов, получивших  Оскара, среди просмотренных пользователем. Признак x100 представляет процент  общей протяженности фильма, просмотренного пользователем из синей области, до  того, как он оценил фильм в зеленой области. Цель y представляет оценку, данную  пользователем из синей области фильму из зеленой области. ",896,994
ml.pdf,ru,57,"Близость двух данных определяется функцией расстояния. Например, на практике  часто используется евклидово расстояние, показанное выше. Также нередко ис- пользуется еще одна функция расстояния — отрицательное косинусное сходство.  Косинусное сходство, которое определяется как является мерой сходства направлений двух векторов. Если угол между двумя век- торами равен 0 градусов, значит, они указывают в одном направлении и косинусное  сходство равно 1. Если векторы ортогональны, косинусное сходство равно 0. Для  векторов, указывающих в противоположных направлениях, косинусное сходство  равно –1. Чтобы использовать косинусное сходство в качестве меры расстояния,  его значение нужно умножить на –1. В числе других популярных мер расстояния  можно назвать расстояние Чебышева, расстояние Махаланобиса и расстояние  Хемминга. Выбор меры, а также значения для k должен сделать аналитик перед  запуском алгоритма. То есть все это — гиперпараметры. Меру расстояния также  можно вывести из данных. Мы поговорим об этом в главе 10. ",1029,1085
